model,accuracy,attrition_precision,attrition_recall,attrition_f1,roc_auc
logistic_regression,0.764172335600907,0.37209302325581395,0.676056338028169,0.48,0.8162923486867149
random_forest,0.8208616780045351,0.45121951219512196,0.5211267605633803,0.48366013071895425,0.7781499809668824
gradient_boosting,0.8435374149659864,0.53125,0.23943661971830985,0.3300970873786408,0.7995051389417587
